Inning_No,Ball_No,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_Player
1,25.2,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,0,0,,,,,,,
1,25.3,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,2,0,,,,,,,
1,25.4,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,0,0,,,,,,,
1,25.5,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,1,0,,,,,,,
1,25.6,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,1,0,,,,,,,
1,26.1,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,0,0,,,,,,,
1,26.2,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,1,0,,,,,,,
1,26.3,Zimbabwe,CK Coventry,S Matsikenyeri,Mahmudullah,1,0,,,,,,,
1,26.4,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,0,0,,,,,,,
1,26.5,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,0,0,,,,,,,
1,26.6,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,0,0,,,,,,,
1,27.1,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,0,0,,,,,,,
1,27.2,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,3,0,,,,,,,
1,27.3,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,0,0,,,,,,,
1,27.4,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,1,0,,,,,,,
1,27.5,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,0,0,,,,,,,
1,27.6,Zimbabwe,CK Coventry,S Matsikenyeri,Naeem Islam,6,0,,,,,,,
1,28.1,Zimbabwe,S Matsikenyeri,CK Coventry,Mahmudullah,0,0,,,,,,,
