Ball,Inning_No,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Runs_by_batsman,Strike_rate,Extras,Wides,No_balls,Byes,Leg_byes
134,1,44.1,CK Coventry,E Chigumbura,Enamul Haque jnr,4,144,107.4626866,0,,,,
135,1,44.2,CK Coventry,E Chigumbura,Enamul Haque jnr,2,146,108.1481481,0,,,,
136,1,44.3,CK Coventry,E Chigumbura,Enamul Haque jnr,2,148,108.8235294,0,,,,
137,1,44.4,CK Coventry,E Chigumbura,Enamul Haque jnr,2,150,109.4890511,0,,,,
138,1,44.5,CK Coventry,E Chigumbura,Enamul Haque jnr,0,150,108.6956522,0,,,,
139,1,44.6,CK Coventry,E Chigumbura,Enamul Haque jnr,6,156,112.2302158,0,,,,
140,1,45.3,CK Coventry,E Chigumbura,Shakib Al Hasan,6,162,115.7142857,0,,,,
141,1,45.4,CK Coventry,E Chigumbura,Shakib Al Hasan,6,168,119.1489362,0,,,,
142,1,45.5,CK Coventry,E Chigumbura,Shakib Al Hasan,4,172,121.1267606,0,,,,
143,1,45.6,CK Coventry,E Chigumbura,Shakib Al Hasan,0,172,120.2797203,0,,,,
144,1,46.2,CK Coventry,E Chigumbura,Enamul Haque jnr,2,174,120.8333333,0,,,,
145,1,46.3,CK Coventry,E Chigumbura,Enamul Haque jnr,1,175,120.6896552,0,,,,
146,1,46.5,CK Coventry,MN Waller,Enamul Haque jnr,4,179,122.6027397,0,,,,
147,1,46.6,CK Coventry,MN Waller,Enamul Haque jnr,1,180,122.4489796,0,,,,
148,1,47.1,CK Coventry,MN Waller,Syed Rasel,1,181,122.2972973,0,,,,
149,1,47.4,CK Coventry,MN Waller,Syed Rasel,1,182,122.147651,0,,,,
150,1,47.7,CK Coventry,MN Waller,Syed Rasel,1,183,122,0,,,,
151,1,48.1,CK Coventry,MN Waller,Mahbubul Alam,0,183,121.192053,0,,,,
152,1,48.2,CK Coventry,MN Waller,Mahbubul Alam,6,189,124.3421053,0,,,,
153,1,48.3,CK Coventry,MN Waller,Mahbubul Alam,1,190,124.1830065,0,,,,
154,1,48.5,CK Coventry,MN Waller,Mahbubul Alam,1,191,124.025974,0,,,,
155,1,49.1,CK Coventry,T Mupariwa,Syed Rasel,1,192,123.8709677,0,,,,
156,1,49.6,CK Coventry,P Utseya,Syed Rasel,2,194,124.3589744,0,,,,
