Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,63,10.3,"KD Karthik","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,64,10.4,"KD Karthik","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,65,10.5,"SR Tendulkar","KD Karthik","DW Steyn",1,0,,,,,,,
1,66,10.6,"KD Karthik","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,67,11.1,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,68,11.2,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,69,11.3,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,70,11.4,"SR Tendulkar","KD Karthik","RE van der Merwe",4,0,,,,,,,
1,71,11.5,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,72,11.6,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,73,12.1,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,74,12.2,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,75,12.3,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,76,12.4,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,77,12.5,"SR Tendulkar","KD Karthik","CK Langeveldt",2,0,,,,,,,
1,78,12.6,"SR Tendulkar","KD Karthik","CK Langeveldt",0,1,1,,,,,,
1,79,12.7,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,80,13.1,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,81,13.2,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,82,13.3,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,83,13.4,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,84,13.5,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,85,13.6,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,86,14.1,"SR Tendulkar","KD Karthik","CK Langeveldt",2,0,,,,,,,
1,87,14.2,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,88,14.3,"SR Tendulkar","KD Karthik","CK Langeveldt",4,0,,,,,,,
1,89,14.4,"SR Tendulkar","KD Karthik","CK Langeveldt",0,1,,,,1,,,
1,90,14.5,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,91,14.6,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,92,15.1,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,93,15.2,"SR Tendulkar","KD Karthik","RE van der Merwe",4,0,,,,,,,
1,94,15.3,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,95,15.4,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,96,15.5,"SR Tendulkar","KD Karthik","RE van der Merwe",0,1,,,,1,,,
1,97,15.6,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,98,16.1,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,99,16.2,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,100,16.3,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
